,gold
2006-12-01,0.011559975
2006-12-04,0.002150406
2006-12-05,-0.003739807
2006-12-06,-0.008615385
2006-12-07,-0.013221601
2006-12-08,0.004466251
2006-12-11,-0.008266533
2006-12-12,0.005872695
2006-12-13,-0.003766715
2006-12-14,-0.000756191
2006-12-15,0.009711799
2006-12-18,-0.025420024
2006-12-19,-0.00198667
2006-12-20,0.006806653
2006-12-21,-0.011416544
2006-12-22,0.00916129
2006-12-25,0.001086818
2006-12-26,0.008365796
2006-12-27,-0.003293224
2006-12-28,0.002160376
2006-12-29,0.010271367
2007-01-04,-0.004769675
2007-01-05,-0.010341783
2007-01-08,-0.020517395
2007-01-09,0.004748894
2007-01-10,-0.000712205
2007-01-11,-0.003110017
2007-01-12,0.002404784
2007-01-15,0.017441483
2007-01-16,-0.000764721
2007-01-17,-0.002040816
2007-01-18,0.008435583
2007-01-19,-0.002027883
2007-01-22,0.007493015
2007-01-23,0.001008446
2007-01-24,0.010011334
2007-01-25,0.005423602
2007-01-26,0.000186012
2007-01-29,0.001239849
2007-01-30,-0.005077085
2007-01-31,0.003298276
2007-02-01,0.008869867
2007-02-02,0.004057793
2007-02-05,-0.010164717
2007-02-06,0.003340551
2007-02-07,0.007953635
2007-02-08,-0.005505261
2007-02-09,0.008918686
2007-02-12,0.009327562
2007-02-13,-0.002355641
2007-02-14,0.005872737
2007-02-15,0.002708559
2007-02-16,-0.002281049
2007-02-26,0.027014018
2007-02-27,-0.002343292
2007-02-28,-0.017909571
2007-03-01,0.003886398
2007-03-02,-0.018403812
2007-03-05,-0.031612159
2007-03-06,0.009962406
2007-03-07,-0.002419505
2007-03-08,0.014303483
2007-03-09,-0.000613121
2007-03-12,-0.001411043
2007-03-13,-0.003010383
2007-03-14,-0.012324378
2007-03-15,0.005053656
2007-03-16,0.003910857
2007-03-19,0.010635667
2007-03-20,-0.00256975
2007-03-21,0.006563612
2007-03-22,0.00645987
2007-03-23,-0.003935816
2007-03-26,-0.00212766
2007-03-27,0.006518428
2007-03-28,0.00169471
2007-03-29,-0.001389728
2007-03-30,0.000544563
2007-04-02,-0.000544267
2007-04-03,0.000726085
2007-04-04,0.006409094
2007-04-05,0.00444578
2007-04-06,0.001854178
2007-04-09,-0.003104478
2007-04-10,0.006827165
2007-04-11,0.001546514
2007-04-12,0.002731916
2007-04-13,-0.003257522
2007-04-16,0.012062511
2007-04-17,0.002935651
2007-04-18,0.005678492
2007-04-19,-0.009954014
2007-04-20,0.002880997
2007-04-23,0.0067421
2007-04-24,0.000757046
2007-04-25,-0.007215595
2007-04-26,0.000117226
2007-04-27,-0.017581902
2007-04-30,0.003579312
2007-05-08,0.010699637
2007-05-09,0.000352879
2007-05-10,-0.0092892
2007-05-11,-0.016141475
2007-05-14,0.003679353
2007-05-15,-0.002403846
2007-05-16,0.003614458
2007-05-17,-0.012905162
2007-05-18,-0.010884767
2007-05-21,0.00565597
2007-05-22,0.000978115
2007-05-23,-0.005313302
2007-05-24,0.001657764
2007-05-25,-0.010604389
2007-05-28,0.002354253
2007-05-29,0.000185426
2007-05-30,-0.001668521
2007-05-31,0.003775921
2007-06-01,0.006721756
2007-06-04,0.00992343
2007-06-05,0.003214654
2007-06-06,-0.002237001
2007-06-07,0
2007-06-08,-0.015997091
2007-06-11,-0.007759098
2007-06-12,-0.001923912
2007-06-13,-0.011317
2007-06-14,0.00754717
2007-06-15,-0.000124844
2007-06-18,0.01073792
2007-06-19,-0.003397159
2007-06-20,0.004028509
2007-06-21,-0.00537037
2007-06-22,-0.004158133
2007-06-25,-0.002056587
2007-06-26,-0.002310623
2007-06-27,-0.015585879
2007-06-28,0.007566605
2007-06-29,0.002145652
2007-07-02,0.003148615
2007-07-03,0.010860013
2007-07-04,-0.004595417
2007-07-05,0.000249548
2007-07-06,-0.009355704
2007-07-09,0.009381099
2007-07-10,0.004678144
2007-07-11,0.006953498
2007-07-12,-0.005117455
2007-07-13,0.004524046
2007-07-16,0.001418965
2007-07-17,-0.000492854
2007-07-18,0.003143491
2007-07-19,0.005099846
2007-07-20,0.006113217
2007-07-23,0.007352048
2007-07-24,0.000422221
2007-07-25,-0.00566743
2007-07-26,-0.002182877
2007-07-27,-0.017805056
2007-07-30,0.000989915
2007-07-31,0.002595958
2007-08-01,-0.007644412
2007-08-02,0.006025968
2007-08-03,0.002037792
2007-08-06,0.008504345
2007-08-07,-0.003666361
2007-08-08,0.001533272
2007-08-09,0.003674219
2007-08-10,-0.010982306
2007-08-13,0.007341147
2007-08-14,0.000244963
2007-08-15,-0.003612319
2007-08-16,-0.000122895
2007-08-17,-0.019235497
2007-08-20,0.008584498
2007-08-21,0.000310636
2007-08-22,0.000558971
2007-08-23,0.005276226
2007-08-24,-0.005248533
2007-08-27,0.008193669
2007-08-28,-0.000923532
2007-08-29,-0.002896407
2007-08-30,-0.000741656
2007-08-31,0.00216477
2007-09-03,0.00752947
2007-09-04,0.001531394
2007-09-05,0.009051988
2007-09-06,0.004970299
2007-09-07,0.012183353
2007-09-10,0.013168871
2007-09-11,0.000882197
2007-09-12,0.01163474
2007-09-13,-0.005227695
2007-09-14,-0.002160458
2007-09-17,0.007548716
2007-09-18,0.007201766
2007-09-19,0.010898397
2007-09-20,0.000969711
2007-09-21,0.01504445
2007-09-24,-0.001010555
2007-09-25,-0.009328987
2007-09-26,0.008622646
2007-09-27,-0.006130484
2007-09-28,0.008431894
2007-10-08,0.001234568
2007-10-09,-0.004371707
2007-10-10,0.006530061
2007-10-11,0.005033557
2007-10-12,0.004451864
2007-10-15,0.012742382
2007-10-16,0.013785558
2007-10-17,-0.012518886
2007-10-18,0.005464481
2007-10-19,0.010054348
2007-10-22,-0.010438526
2007-10-23,-0.002011854
2007-10-24,-0.005067015
2007-10-25,0.007502327
2007-10-26,0.016360474
2007-10-29,0.016204075
2007-10-30,-0.006525629
2007-10-31,-0.000529717
2007-11-01,0.011341955
2007-11-02,-0.00445446
2007-11-05,0.016686845
2007-11-06,0.011131821
2007-11-07,0.023913155
2007-11-08,-0.00265053
2007-11-09,0.002607431
2007-11-12,-0.021755439
2007-11-13,-0.008537832
2007-11-14,-0.0041252
2007-11-15,0.011080619
2007-11-16,-0.023454704
2007-11-19,-0.005244113
2007-11-20,-0.00152881
2007-11-21,0.02217529
2007-11-22,-0.005681818
2007-11-23,0.005818182
2007-11-26,0.016165685
2007-11-27,-0.001575604
2007-11-28,-0.016493586
2007-11-29,-0.00621118
2007-11-30,-0.00921875
2007-12-03,-0.007464648
2007-12-04,0.004713733
2007-12-05,0.011755403
2007-12-06,-0.010628875
2007-12-07,0.003949655
2007-12-10,-0.002098196
2007-12-11,0.010880992
2007-12-12,-0.005511934
2007-12-13,0.003921569
2007-12-14,-0.0078125
2007-12-17,-0.007349081
2007-12-18,0.001692226
2007-12-19,0.008921972
2007-12-20,-0.005808173
2007-12-21,0.002631579
2007-12-24,0.008713911
2007-12-25,0.00057244
2007-12-26,0.004004785
2007-12-27,0.003937008
2007-12-28,0.006346749
2008-01-02,0.007332205
2008-01-03,0.022091011
2008-01-04,0.008466135
2008-01-07,-0.011061728
2008-01-08,0.018176371
2008-01-09,0.024178519
2008-01-10,-0.015467126
2008-01-11,0.013618677
2008-01-14,0.013339731
2008-01-15,0.005492944
2008-01-16,-0.026466987
2008-01-17,0.00125774
2008-01-18,-0.008358295
2008-01-21,0.002484775
2008-01-22,-0.026049767
2008-01-23,0.034580838
2008-01-24,-0.000385858
2008-01-25,0.022195416
2008-01-28,0.005853198
2008-01-29,0.005678352
2008-01-30,-0.001399907
2008-01-31,-9.34579E-05
2008-02-01,0
2008-02-04,-0.018085802
2008-02-05,-0.005425729
2008-02-13,-0.003684739
2008-02-14,0.012824207
2008-02-15,-0.001991748
2008-02-18,-0.005321929
2008-02-19,0.003965031
2008-02-20,0.015178911
2008-02-21,0.0147176
2008-02-22,0.003187214
2008-02-25,0.003269178
2008-02-26,-0.014181468
2008-02-27,0.023277467
2008-02-28,-0.005959964
2008-02-29,0.013089844
2008-03-03,0.015992772
2008-03-04,-0.001689715
2008-03-05,-0.016079462
2008-03-06,0.021865097
2008-03-07,-0.003233952
2008-03-10,-0.0044
2008-03-11,-0.007276461
2008-03-12,0.002788021
2008-03-13,0.009865471
2008-03-14,0.007548845
2008-03-17,0.029484354
2008-03-18,-0.020591635
2008-03-19,-0.012151412
2008-03-20,-0.054646018
2008-03-21,-0.017318044
2008-03-24,-0.014527268
2008-03-25,0.01662639
2008-03-26,0.008890368
2008-03-27,0.011450921
2008-03-28,-0.006196422
2008-03-31,-0.006141297
2008-04-01,-0.033018868
2008-04-02,-0.019560976
2008-04-03,0.011940893
2008-04-07,0.011603324
2008-04-08,0.006804374
