,SP500,London_gold,Barclays_US_bond,s_bm,g_bm,b_bm,ms_return,bm_return
2005-05-31,0.124973163359,0.0579439437129,0.817082892928,0.068,0.05,0.882,0.00828441808163,0.00828281616304
2005-06-30,0.15854835116,0.0,0.84145164884,0.067,0.046,0.887,0.0109471942944,0.0103766695584
2005-07-31,0.181358979536,4.94667241197e-19,0.818641020464,0.068,0.046,0.886,0.000405763995361,-0.00230220822462
2005-08-31,0.213786233266,4.15791533148e-17,0.786213766734,0.069,0.041,0.89,-1.65472595328e-06,0.000904875599833
2005-09-30,0.213991698371,0.00707643642228,0.778931865207,0.07,0.044,0.885,0.0048887544741,0.00693151868404
2005-10-31,0.217409620596,0.0953230344102,0.687267344994,0.074,0.051,0.875,-0.00956103477887,-0.00864644021215
2005-11-30,0.149527884582,0.103870786317,0.746601329102,0.072,0.056,0.871,0.00553879201023,0.00164393559733
2005-12-31,0.164115693085,0.102501261934,0.733383044981,0.075,0.059,0.866,0.0152626023271,0.0113374968783
2006-01-31,0.215884351907,0.134766417554,0.649349230539,0.076,0.064,0.861,0.0187450189956,0.0132316349084
2006-02-28,0.234073675166,0.138286572084,0.62763975275,0.076,0.062,0.862,-0.000668541061848,-0.00204736472133
2006-03-31,0.22340335184,0.119730498364,0.656866149795,0.076,0.062,0.861,0.00187939431654,-0.000734479161727
2006-04-30,0.222608303759,0.0857946609545,0.691597035286,0.078,0.064,0.859,0.00570398107695,0.00147217093345
2006-05-31,0.251145761454,0.146983805107,0.601870433439,0.079,0.073,0.848,0.0126113626078,0.00646163168906
2006-06-30,0.233944679086,0.164291170366,0.601764150547,0.071,0.077,0.852,-0.0244984988029,-0.00925341261259
2006-07-31,0.141556680035,0.132173094365,0.7262702256,0.067,0.064,0.869,0.0126049114406,0.00886253429428
2006-08-31,0.185208760377,0.136446432537,0.678344807086,0.071,0.066,0.863,0.0138432164388,0.0145471983829
2006-09-30,0.19037297277,0.114421128503,0.695205898727,0.072,0.067,0.861,0.00687297258765,0.00839755856123
2006-10-31,0.199409330337,0.106157821929,0.694432847733,0.079,0.053,0.868,0.00759451269526,0.00509263348261
2006-11-30,0.192064318989,0.0829682931513,0.72496738786,0.08,0.054,0.866,0.0172219793625,0.0148304564756
2006-12-31,0.226808645322,0.125661746421,0.647529608256,0.08,0.058,0.862,0.00929607133839,0.0074370275267
2007-01-31,0.221314707643,0.110064649251,0.668620643106,0.083,0.058,0.859,-0.000973238163769,-0.00241049365301
2007-02-28,0.228511238964,0.0799264995882,0.691562261448,0.084,0.059,0.857,0.011839201139,0.00956820450408
2007-03-31,0.253914492295,0.128163982043,0.617921525662,0.083,0.062,0.855,-0.00215423998782,0.00559632089526
2007-04-30,0.152929911097,0.0984054832909,0.748664605612,0.078,0.057,0.865,0.00956877846281,0.00492364921699
2007-05-31,0.161703364659,0.0900752391814,0.748221396159,0.077,0.043,0.88,0.00423782167641,0.00246848848221
2007-06-30,0.17307823654,0.0596342950729,0.767287468387,0.078,0.042,0.88,-0.00961748407525,-0.0107938779394
2007-07-31,0.195290558862,0.0418941373313,0.762815303806,0.078,0.042,0.879,0.0059452515046,0.00615082309352
2007-08-31,0.204592323289,3.38813178902e-19,0.795407676711,0.075,0.04,0.885,0.00093870350609,0.00765690541531
2007-09-30,0.055350873666,3.68628738645e-18,0.944649126334,0.069,0.037,0.893,0.0139507920508,0.016360449903
2007-10-31,0.108122482286,0.100547305723,0.791330211991,0.068,0.038,0.894,0.0146262452814,0.0104814507171
2007-11-30,0.138680322585,0.103435683721,0.757883993694,0.077,0.042,0.881,0.0104532209558,0.0107482979581
2007-12-31,0.0708043803343,0.109531450838,0.819664168828,0.082,0.042,0.877,0.00403309075977,0.00479785528766
2008-01-31,0.0847010255448,0.0902236103195,0.825075364136,0.08,0.042,0.878,0.020508680108,0.0168062230153
2008-02-29,0.0491016044005,0.112256802852,0.838641592748,0.077,0.042,0.881,0.00130300372031,-0.00221825533203
2008-03-31,0.0556569843358,0.130724095014,0.81361892065,0.075,0.051,0.874,0.00769282743486,0.00339105995749
2008-04-30,0.057798465299,0.144132895612,0.798068639089,0.074,0.045,0.881,-0.00402309967681,0.00297390441008
